Survey,Year,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date,Summary Area Depth,NMFS Reporting Area,Minimum Depth (m),Maximum Depth (m)
GOA,1984,400,skate unid.,Rajidae,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,946,Yakutat,701,1000
GOA,1984,400,skate unid.,Rajidae,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,955,Southeastern,501,700
GOA,1984,400,skate unid.,Rajidae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,945,Yakutat,501,700
GOA,1984,400,skate unid.,Rajidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,916,Shumagin,701,1000
GOA,1984,400,skate unid.,Rajidae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,936,Kodiak,701,1000
GOA,1984,400,skate unid.,Rajidae,6,1,4.7,22.09548626,2.1,4.471205576,14.4,207.644471,0,50,6482,42018587.22,0,22344,9/29/2021 10:30,926,Chirikof,701,1000
GOA,1984,400,skate unid.,Rajidae,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,925,Chirikof,501,700
GOA,1984,400,skate unid.,Rajidae,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,941,Yakutat,10,100
GOA,1984,400,skate unid.,Rajidae,11,1,1.09944668,1.240961109,2.430355818,6.020692762,2.9,8.569073408,0,10,6448,41574033.11,0,23025,9/29/2021 10:30,944,Yakutat,301,500
GOA,1984,400,skate unid.,Rajidae,11,2,20.60790109,354.8491722,5.415214885,14.59484259,64.2,3447.575442,0,197,16873,141797768.8,0,43809,9/29/2021 10:30,954,Southeastern,301,500
GOA,1984,400,skate unid.,Rajidae,12,1,1.2,1.391737465,2.4,5.589284643,1.9,3.580510298,0,6,3792,14379501.68,0,12055,9/29/2021 10:30,924,Chirikof,301,500
GOA,1984,400,skate unid.,Rajidae,14,1,19.2,367.7330509,1.5,2.279590471,38.5,1479.185381,0,121,3028,9169523.63,0,9523,9/29/2021 10:30,915,Shumagin,501,700
GOA,1984,400,skate unid.,Rajidae,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,935,Kodiak,501,700
GOA,1984,400,skate unid.,Rajidae,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,934,Kodiak,301,500
GOA,1984,400,skate unid.,Rajidae,18,3,8.3,35.1189659,4.7,10.41905589,21,224.9886813,0,53,11908,66749392.66,0,29073,9/29/2021 10:30,914,Shumagin,301,500
GOA,1984,400,skate unid.,Rajidae,23,5,11.4,46.89354871,4.3,3.177276318,31.9,364.4875928,0,71,11916,24695887.36,1634,22198,9/29/2021 10:30,913,Shumagin,201,300
GOA,1984,400,skate unid.,Rajidae,33,2,1.710983161,1.98710805,2.841147524,4.205051133,9,53.11426025,0,24,14798,112398608.7,0,36850,9/29/2021 10:30,943,Yakutat,201,300
GOA,1984,400,skate unid.,Rajidae,37,1,0.062140956,0.005984128,0.559268604,0.323536353,0.9,0.735210409,0,3,6305,39749697.74,0,19293,9/29/2021 10:30,952,Southeastern,101,200
GOA,1984,400,skate unid.,Rajidae,39,2,0.489987754,0.148985438,0.534532095,0.140669238,2.5,3.802997468,0,7,2753,3590718.419,0,6706,9/29/2021 10:30,953,Southeastern,201,300
GOA,1984,400,skate unid.,Rajidae,41,7,4.682181972,3.696545458,3.900494809,2.444879057,54,488.0438703,8,100,44995,322790089,7733,82257,9/29/2021 10:30,933,Kodiak,201,300
GOA,1984,400,skate unid.,Rajidae,43,6,5.127923953,5.253895641,3.007343667,1.727279857,58.9,700.4093271,5,113,34350,230267787,3212,65488,9/29/2021 10:30,923,Chirikof,201,300
GOA,1984,400,skate unid.,Rajidae,44,1,14.46675407,208.7420353,1.077752452,1.165823411,376.2,141489.2386,0,1163,28111,790216817.4,0,86947,9/29/2021 10:30,921,Chirikof,10,100
GOA,1984,400,skate unid.,Rajidae,55,2,0.569501509,0.288852807,1.056488704,0.610674418,16.7,249.3603609,0,50,30459,527181974.4,0,78699,9/29/2021 10:30,942,Yakutat,101,200
GOA,1984,400,skate unid.,Rajidae,73,3,7.798392341,20.49159366,0.399917556,0.052518194,300.4,30398.60937,0,653,15613,77909023.79,0,33452,9/29/2021 10:30,931,Kodiak,10,100
GOA,1984,400,skate unid.,Rajidae,82,7,10.88846839,33.65337763,2.055476175,0.602501161,160.1,7249.713158,0,332,30320,129792636.1,7295,53345,9/29/2021 10:30,912,Shumagin,101,200
GOA,1984,400,skate unid.,Rajidae,85,4,1.420633017,0.954868799,0.964121397,0.40772793,34.4,543.1233473,0,81,22940,231913073.5,0,53717,9/29/2021 10:30,922,Chirikof,101,200
GOA,1984,400,skate unid.,Rajidae,100,5,1.774839202,0.906495854,0.737271646,0.119455963,73.2,1545.345268,0,154,29775,203642086.3,549,59001,9/29/2021 10:30,911,Shumagin,10,100
GOA,1984,400,skate unid.,Rajidae,132,23,28.96176776,109.7420677,7.42368559,4.421383183,1254.9,206056.3665,320,2190,321501,8301776816,133806,509196,9/29/2021 10:30,932,Kodiak,101,200
GOA,1984,420,big skate,Beringraja binoculata,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,946,Yakutat,701,1000
GOA,1984,420,big skate,Beringraja binoculata,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,955,Southeastern,501,700
GOA,1984,420,big skate,Beringraja binoculata,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,945,Yakutat,501,700
GOA,1984,420,big skate,Beringraja binoculata,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,916,Shumagin,701,1000
GOA,1984,420,big skate,Beringraja binoculata,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,926,Chirikof,701,1000
GOA,1984,420,big skate,Beringraja binoculata,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,936,Kodiak,701,1000
GOA,1984,420,big skate,Beringraja binoculata,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,925,Chirikof,501,700
GOA,1984,420,big skate,Beringraja binoculata,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,944,Yakutat,301,500
