species_group,year,strata,cpue,cv
big_skate,1998,CGOA,235.78499015,0.24912304046148662
big_skate,1998,EGOA,206.39645143899997,0.3488309490941482
big_skate,1998,WGOA,80.19168476,0.384342536371859
big_skate,1999,CGOA,1109.1165454,0.1312028811024394
big_skate,1999,EGOA,242.844034047,0.1931355737853964
big_skate,1999,WGOA,171.55436016000002,0.243748739357881
big_skate,2000,CGOA,1029.7494777,0.1788504184510232
big_skate,2000,EGOA,193.03987469,0.18719997232013216
big_skate,2000,WGOA,97.88041468,0.3088635114026806
big_skate,2001,CGOA,371.905382554,0.3443933377376482
big_skate,2001,EGOA,141.405521973,0.3228034660745803
big_skate,2001,WGOA,297.04562654,0.21447398190376138
big_skate,2002,CGOA,448.35346756,0.18765020801616067
big_skate,2002,EGOA,128.0917908,0.24449973258167274
big_skate,2002,WGOA,25.48189529,0.4869130576354393
big_skate,2003,CGOA,734.20261208,0.14778994055201192
big_skate,2003,EGOA,230.760440334,0.25973349164700077
big_skate,2003,WGOA,62.910275215,0.42256641115865273
big_skate,2004,CGOA,614.07431923,0.1879480341580373
big_skate,2004,EGOA,432.897386159,0.2766312569591787
big_skate,2004,WGOA,216.07801809,0.5070187386446604
big_skate,2005,CGOA,417.88823426,0.16048076293593824
big_skate,2005,EGOA,283.64812208,0.16591426431509337
big_skate,2005,WGOA,125.64230259,0.5216647951304754
big_skate,2006,CGOA,385.739435135,0.13853592893272937
big_skate,2006,EGOA,303.80620089,0.28488106677365216
big_skate,2006,WGOA,135.032037137,0.2877832447102317
big_skate,2007,CGOA,570.03069301,0.19490614467164996
big_skate,2007,EGOA,256.53838484,0.1886207362856829
big_skate,2007,WGOA,102.79387924,0.3984938259626373
big_skate,2008,CGOA,384.41267366,0.1550275536900711
big_skate,2008,EGOA,596.48585666,0.15669472081284497
big_skate,2008,WGOA,77.74299909999999,0.31090879418671086
big_skate,2009,CGOA,656.40144261,0.14520852030511008
big_skate,2009,EGOA,890.4683886260001,0.17409257844307185
big_skate,2009,WGOA,141.72226354,0.40782108840023873
big_skate,2010,CGOA,666.91773524,0.1390051804581719
big_skate,2010,EGOA,507.57514208,0.17520763873643191
big_skate,2010,WGOA,174.96036712,0.32765903606373314
big_skate,2011,CGOA,613.526817182,0.14511099273170783
big_skate,2011,EGOA,608.495778337,0.17087467131565667
big_skate,2011,WGOA,133.27934282,0.34367731460205836
big_skate,2012,CGOA,987.9336777999999,0.1540342755108178
big_skate,2012,EGOA,398.96919016,0.1914054923095487
